1,http://dummyimage.com/208x211.jpg/ff4444/ffffff,Fennel - Seeds
"2,http://dummyimage.com/194x213.bmp/cc0000/ffffff,""Juice - Orange, Concentrate"""
"3,http://dummyimage.com/117x205.png/ff4444/ffffff,""Yogurt - Raspberry, 175 Gr"""
4,http://dummyimage.com/102x207.png/dddddd/000000,Ocean Spray - Ruby Red
5,http://dummyimage.com/175x106.png/cc0000/ffffff,Maintenance Removal Charge
6,http://dummyimage.com/144x119.jpg/ff4444/ffffff,Cheese - Gorgonzola
7,http://dummyimage.com/190x137.png/5fa2dd/ffffff,Potato - Sweet
8,http://dummyimage.com/130x106.bmp/cc0000/ffffff,Quail - Jumbo Boneless
"9,http://dummyimage.com/156x221.png/5fa2dd/ffffff,""Wine - Red, Cabernet Merlot"""
10,http://dummyimage.com/184x166.bmp/dddddd/000000,Bread - Petit Baguette
"11,http://dummyimage.com/167x160.bmp/dddddd/000000,""Wine - Saint - Bris 2002, Sauv"""
12,http://dummyimage.com/103x244.png/5fa2dd/ffffff,Jolt Cola
"13,http://dummyimage.com/223x210.png/cc0000/ffffff,""Beans - Kidney, Red Dry"""
14,http://dummyimage.com/120x147.png/cc0000/ffffff,Tea - Earl Grey
15,http://dummyimage.com/112x171.bmp/cc0000/ffffff,Coffee - Espresso
16,http://dummyimage.com/235x162.jpg/5fa2dd/ffffff,Ginger - Crystalized
17,http://dummyimage.com/194x160.jpg/cc0000/ffffff,Beef - Eye Of Round
18,http://dummyimage.com/170x162.jpg/cc0000/ffffff,Mussels - Cultivated
"19,http://dummyimage.com/173x211.jpg/ff4444/ffffff,""Lamb - Whole Head Off,nz"""
20,http://dummyimage.com/237x111.jpg/ff4444/ffffff,Chocolate - Compound Coating
